,antc,consq,Support  1,count  1,Confidence  2,Added Value  3,Causal Support  4,Causal Confidence  5,Certainty Factor  6,Chi-Squared  7,Collective Strength  8,Conviction  9,Cosine 10,Coverage 11,Confirmed Confidence 12,Difference of Confidence 13,Counter Example 14,Fisher's Exact Test 15,Gini Index 16,Hyper Confidence 17,Hyper Lift 18,Imbalance Ratio 19,Importance 20,Improvement 21,Jaccard Coefficient 22,J-Measure 23,Kappa 24,Klosgen 25,Kulczynski 26,Goodman-Kruskal 27,Laplace Confidence 28,Least Contradiction 29,Lerman Similarity 30,Leverage 31,Lift 32,Max Confidence 33,Mutual Information 34,Odds Ratio 35,Phi Correlation Coeficient 36,Ralambondrainy Measure 37,Relative Linkage Disequilibrium 38,Rule Power Factor 39,Sebag-Schoenauer Measure 40,Varying Rates Liaison 41,Yule's Q 42,Yule's Y 43
0,[ 5  8 10 13],[2],0.13333,2,1.0,0.6,0.53333,1.0,1.0,3.46154,12.70588,,0.57735,0.13333,0.13333,0.69231,1.0,0.14286,0.11077,0.85714,1.0,0.66667,0.35218,0.0,0.33333,,0.375,0.21909,0.66667,0.33333,0.75,0.33333,-0.37803,0.08,2.5,1.0,,,0.48038,0.0,1.0,0.13333,,1.5,,
1,[ 2  8 10 13],[5],0.13333,2,1.0,0.8,0.33333,1.0,1.0,9.23077,48.77419,,0.8165,0.13333,0.13333,0.92308,1.0,0.02857,0.19692,0.97143,1.0,0.33333,0.75012,0.0,0.66667,,0.7619,0.29212,0.83333,0.66667,0.75,0.66667,-0.11606,0.10667,5.0,1.0,,,0.78446,0.0,1.0,0.13333,,4.0,,
2,[ 2  5 10 13],[8],0.13333,2,1.0,0.66667,0.46667,1.0,1.0,4.61538,17.17172,,0.63246,0.13333,0.13333,0.76923,1.0,0.09524,0.13675,0.90476,1.0,0.6,0.44909,0.0,0.4,,0.47059,0.24343,0.7,0.4,0.75,0.4,-0.3001,0.08889,3.0,1.0,,,0.5547,0.0,1.0,0.13333,,2.0,,
3,[ 2  5  8 13],[10],0.13333,2,1.0,0.86667,0.26667,1.0,1.0,15.0,,,1.0,0.13333,0.13333,1.0,1.0,0.00952,0.23111,0.99048,2.0,0.0,1.05115,0.0,1.0,,1.0,0.31646,1.0,1.0,0.75,1.0,0.0,0.11556,7.5,1.0,,,1.0,0.0,1.0,0.13333,,6.5,,
4,[ 2  5  8 10],[13],0.13333,2,1.0,0.4,0.73333,1.0,1.0,1.53846,5.97683,,0.4714,0.13333,0.13333,0.46154,1.0,0.48571,0.04923,0.65714,1.0,0.77778,0.14806,0.0,0.22222,,0.18605,0.14606,0.61111,0.0,0.75,0.22222,-0.57905,0.05333,1.66667,1.0,,,0.32026,0.0,1.0,0.13333,,0.66667,,
5,[ 8 10 13],[5],0.13333,2,1.0,0.8,0.33333,1.0,1.0,9.23077,48.77419,,0.8165,0.13333,0.13333,0.92308,1.0,0.02857,0.19692,0.97143,1.0,0.33333,0.75012,0.0,0.66667,,0.7619,0.29212,0.83333,0.66667,0.75,0.66667,-0.11606,0.10667,5.0,1.0,,,0.78446,0.0,1.0,0.13333,,4.0,,
6,[ 5 10 13],[8],0.13333,2,1.0,0.66667,0.46667,1.0,1.0,4.61538,17.17172,,0.63246,0.13333,0.13333,0.76923,1.0,0.09524,0.13675,0.90476,1.0,0.6,0.44909,0.0,0.4,,0.47059,0.24343,0.7,0.4,0.75,0.4,-0.3001,0.08889,3.0,1.0,,,0.5547,0.0,1.0,0.13333,,2.0,,
7,[ 5  8 13],[10],0.13333,2,1.0,0.86667,0.26667,1.0,1.0,15.0,,,1.0,0.13333,0.13333,1.0,1.0,0.00952,0.23111,0.99048,2.0,0.0,1.05115,0.0,1.0,,1.0,0.31646,1.0,1.0,0.75,1.0,0.0,0.11556,7.5,1.0,,,1.0,0.0,1.0,0.13333,,6.5,,
8,[ 5  8 10],[13],0.13333,2,1.0,0.4,0.73333,1.0,1.0,1.53846,5.97683,,0.4714,0.13333,0.13333,0.46154,1.0,0.48571,0.04923,0.65714,1.0,0.77778,0.14806,0.0,0.22222,,0.18605,0.14606,0.61111,0.0,0.75,0.22222,-0.57905,0.05333,1.66667,1.0,,,0.32026,0.0,1.0,0.13333,,0.66667,,
9,[ 5  8 10],[2],0.13333,2,1.0,0.6,0.53333,1.0,1.0,3.46154,12.70588,,0.57735,0.13333,0.13333,0.69231,1.0,0.14286,0.11077,0.85714,1.0,0.66667,0.35218,0.0,0.33333,,0.375,0.21909,0.66667,0.33333,0.75,0.33333,-0.37803,0.08,2.5,1.0,,,0.48038,0.0,1.0,0.13333,,1.5,,
10,[ 2  8 10],[5],0.13333,2,1.0,0.8,0.33333,1.0,1.0,9.23077,48.77419,,0.8165,0.13333,0.13333,0.92308,1.0,0.02857,0.19692,0.97143,1.0,0.33333,0.75012,0.0,0.66667,,0.7619,0.29212,0.83333,0.66667,0.75,0.66667,-0.11606,0.10667,5.0,1.0,,,0.78446,0.0,1.0,0.13333,,4.0,,
